08-17 11:53:17.888 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
08-17 11:53:17.891 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-17 11:53:17.892 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-17 11:53:18.704 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-17 11:53:18.711 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-17 11:53:18.711 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-17 11:53:18.711 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-17 11:53:18.759 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-17 11:53:18.760 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 868 ms
08-17 11:53:18.897 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-17 11:53:19.002 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-17 11:53:19.033 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-17 11:53:19.053 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-17 11:53:19.057 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.607 seconds (JVM running for 2.287)
08-17 11:53:21.687 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-17 11:53:21.688 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-17 11:53:21.693 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-17 11:53:41.172 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 11:53:45.471 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64809 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 11:53:45.475 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 11:53:45.532 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
08-17 11:53:45.533 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
08-17 11:53:45.533 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-17 11:53:45.534 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-17 11:53:46.374 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-17 11:53:46.380 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-17 11:53:46.381 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-17 11:53:46.381 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-17 11:53:46.433 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-17 11:53:46.434 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 900 ms
08-17 11:53:46.570 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-17 11:53:46.675 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-17 11:53:46.706 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-17 11:53:46.727 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-17 11:53:46.730 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.748 seconds (JVM running for 2.498)
08-17 11:53:48.592 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-17 11:53:48.594 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-17 11:53:48.599 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-17 11:58:54.286 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 11:58:58.625 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64905 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 11:58:58.627 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 11:58:58.681 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
08-17 11:58:58.681 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
08-17 11:58:58.682 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-17 11:58:58.682 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-17 11:58:59.457 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-17 11:58:59.465 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-17 11:58:59.465 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-17 11:58:59.465 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-17 11:58:59.527 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-17 11:58:59.528 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 846 ms
08-17 11:58:59.673 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-17 11:58:59.784 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-17 11:58:59.817 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-17 11:58:59.838 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-17 11:58:59.842 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.651 seconds (JVM running for 2.403)
08-17 11:59:08.369 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-17 11:59:08.372 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-17 11:59:08.377 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-17 11:59:27.441 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-17 11:59:31.455 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 64925 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-17 11:59:31.456 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-17 11:59:31.520 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-impl-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0/jaxb-core.jar
08-17 11:59:31.524 INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in /Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-core-2.3.0.jar referenced one or more files that do not exist: file:/Users/lifevc/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0/jaxb-api.jar
08-17 11:59:31.525 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-17 11:59:31.525 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
