08-14 09:54:35.955 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 09:54:35.987 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-14 09:54:36.004 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-14 09:54:36.008 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.595 seconds (JVM running for 2.365)
08-14 09:54:39.072 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-14 09:54:39.073 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-14 09:54:39.078 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
08-14 09:56:20.234 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 10:02:40.107 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 12857 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 10:02:40.109 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
08-14 10:02:40.156 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
08-14 10:02:40.156 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
08-14 10:02:40.869 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
08-14 10:02:40.877 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
08-14 10:02:40.878 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
08-14 10:02:40.878 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
08-14 10:02:40.938 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08-14 10:02:40.938 INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 782 ms
08-14 10:02:41.078 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
08-14 10:02:41.206 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
08-14 10:02:41.239 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
08-14 10:02:41.262 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
08-14 10:02:41.267 INFO  com.zhaouri.applelogin.DemoApplication - Started DemoApplication in 1.597 seconds (JVM running for 2.344)
08-14 10:02:47.408 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08-14 10:02:47.409 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08-14 10:02:47.416 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
08-14 10:10:32.257 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
08-14 10:10:37.129 INFO  com.zhaouri.applelogin.DemoApplication - Starting DemoApplication on lifevcs-MacBook-Pro.local with PID 13036 (/Users/lifevc/Desktop/AppleLogin-java/applelogin/target/classes started by lifevc in /Users/lifevc/Desktop/AppleLogin-java/applelogin)
08-14 10:10:37.130 INFO  com.zhaouri.applelogin.DemoApplication - No active profile set, falling back to default profiles: default
